DENOMINACION,TIPOVIA,PARTICULA,NOMBREVIA,DISTRITO,X,Y,GRADOACCESIBILIDAD,LINEAS
DR.GARCIA TAPIA-LAPONIA,Avda,del,Doctor García Tapia,14.0,446847.0,4473293.0,T,"30, 100, N8"
LAPONIA-MUNICH,Calle,de,Laponia,14.0,446848.0,4473179.0,T,30
MERCAMADRID-MERCADO PESCADO,Calle,de,Eje 3-1A,18.0,443574.0,4467911.0,T,T32
MERCAMADRID-NAVES AUXILIARES,Calle,de,Eje 1-10,18.0,444373.0,4468494.0,T,"130, T32"
CENTRO DE TRANSPORTES DE MADRID,Calle,de,Eje 7,18.0,444562.0,4468746.0,T,"130, T32"
AV.Cº SANTIAGO-GTA.MONTE DEL GOZO,Avda,del,Camino de Santiago,8.0,443536.0,4484860.0,T,"170, 172, 172SF, T61"
PEDRO RICO-ARZOBISPO MORCILLO,Calle,de,Pedro Rico,8.0,440912.0,4481920.0,T,67
CARRERA SAN FRANCISCO-SAN I.LABRADOR,Car,de,San Francisco,1.0,439629.0,4473809.0,T,60
DIEGO DE LEON-SERRANO,Calle,de,Diego de León,4.0,441947.0,4476487.0,T,61
GRAL.ORAA-Pº CASTELLANA,Calle,del,General Oraa,4.0,441779.0,4476568.0,T,61
HERMANOS BECQUER-SERRANO,Calle,de los,Hermanos Bécquer,4.0,441859.0,4476507.0,T,61
AV.PABLO NERUDA-AV.PALOMERAS,Avda,de,Pablo Neruda,13.0,445195.0,4470944.0,T,57
PARANINFO-MATEMATICAS,Avda,a,Complutense,9.0,438426.0,4478208.0,T,"82, F, G, N20, U"
PARANINFO-TELECOMUNICACIONES,Avda,a,Complutense,9.0,438397.0,4478417.0,T,"82, F, G, N20, U"
PARANINFO-DERECHO,Avda,a,Complutense,9.0,438245.0,4478288.0,T,"82, F, G, N20, U"
ISAAC PERAL-PZA.CRISTO REY,Calle,de,Isaac Peral,9.0,439230.0,4476902.0,T,"1, 44, 82, 132, C2"
AV.MEDITERRANEO-PZA.CONDE CASAL,Avda,del,Mediterráneo,3.0,443361.0,4473294.0,T,"63, 143, 145, E, N9"
EL BOSCO-MARUJA GARCIA ROMERO,Calle,de,El Bosco,13.0,444623.0,4472996.0,T,"63, 143"
EL BOSCO-RAMON PEREZ AYALA,Calle,de,El Bosco,13.0,444830.0,4472749.0,T,"63, 143, N9"
EL BOSCO-RAMON PEREZ AYALA,Calle,de,El Bosco,13.0,444955.0,4472599.0,T,"63, 143, N9"
AV.MEDITERRANEO-AV.PABLO NERUDA,Avda,del,Mediterráneo,13.0,445700.0,4471971.0,T,"63, 145, E, N9"
AV.MEDITERRANEO-AV.DEMOCRACIA,Avda,del,Mediterráneo,13.0,447117.0,4471554.0,T,"63, 145, E, N9"
CASTRILLO AZA-AV.STA.EUGENIA,Calle,de,Castrillo de Aza,18.0,448239.0,4470709.0,T,"63, N9"
AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,Avda,de,Santa Eugenia,18.0,448371.0,4470380.0,T,"63, 145, N9"
AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS,Avda,de,Santa Eugenia,18.0,448838.0,4470566.0,T,"63, 145, N9"
ISAAC PERAL-FERNANDEZ DE LOS RIOS,Calle,de,Isaac Peral,7.0,439200.0,4476581.0,T,"1, 44, 62, 82, 132, 138, C1, N21"
GRAL.IBAÑEZ IBERO-AV.REINA VICTORIA,Calle,del,General Ibáñez de Ibero,7.0,439873.0,4477770.0,T,"44, N21"
DR.FEDERICO RUBIO-ALMANSA,Avda,del,Doctor Federico Rubio y Galí,6.0,439995.0,4478056.0,T,"44, 127, N21"
DR.FEDERICO RUBIO-ABEL,Avda,del,Doctor Federico Rubio y Galí,6.0,439946.0,4478242.0,T,"44, 127"
DR.FEDERICO RUBIO-FCO.DE DIEGO,Avda,del,Doctor Federico Rubio y Galí,9.0,439543.0,4478784.0,T,44
OFELIA NIETO-FRANCOS RODRIGUEZ,Calle,de,Ofelia Nieto,6.0,439830.0,4479049.0,T,"44, 128"
OFELIA NIETO-Pº DIRECCION,Paseo,de la,Dirección,6.0,440129.0,4479602.0,T,44
OFELIA NIETO-Pº DIRECCION,Paseo,de la,Dirección,6.0,440118.0,4479611.0,T,44
OFELIA NIETO-FRANCOS RODRIGUEZ,Calle,de,Ofelia Nieto,9.0,439802.0,4479051.0,T,"44, 128"
DR.FEDERICO RUBIO-FCO.DIEGO,Avda,del,Doctor Federico Rubio y Galí,9.0,439532.0,4478792.0,T,44
DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,Avda,del,Doctor Federico Rubio y Galí,9.0,439579.0,4478530.0,T,44
DR.FEDERICO RUBIO-JERONIMA LLORENTE,Avda,del,Doctor Federico Rubio y Galí,6.0,439928.0,4478397.0,T,"44, 127, N21"
DR.FEDERICO RUBIO-ABEL,Avda,del,Doctor Federico Rubio y Galí,6.0,439938.0,4478216.0,T,"44, 127"
SAN FCO.DE SALES-GUZMAN EL BUENO,Paseo,de,San Francisco de Sales,7.0,439623.0,4477308.0,T,"44, N21"
LAGO CALAFATE,Calle,del,Lago Calafate,13.0,444969.0,4470785.0,T,310
AV.REINA VICTORIA-GRAL.I.IBERO,Avda,de la,Reina Victoria,7.0,439827.0,4477777.0,T,"45, C1, F, NC1"
"CALLE DE MIRABEL, 3",Calle,de,Mirabel,10.0,433789.0,4470000.0,T,N19
MARQUESADO STA.MARTA-FERNANDO MIJARES,Calle,del,Marquesado de Santa Marta,20.0,447315.0,4477842.0,T,"114, N4"
STA.ENGRACIA-CARACAS,Calle,de,Santa Engracia,7.0,441012.0,4475985.0,T,3
AV.NIZA-LAS MUSAS,Avda,de,Niza,20.0,448562.0,4476153.0,T,"38, E2"
DR.GARCIA TAPIA-FTE.CARRANTONA,Avda,del,Doctor García Tapia,14.0,446485.0,4473434.0,T,"30, N8"
AV.BETANZOS-CHANTADA,Avda,de,Betanzos,8.0,439782.0,4480761.0,T,42
INDALECIO PRIETO-LOS PINILLAS,Bulv,de,Indalecio Prieto,19.0,447380.0,4472529.0,T,"8, 71, 130, N8"
INDALECIO PRIETO-JUGLARES,Bulv,de,Indalecio Prieto,19.0,447448.0,4472749.0,T,"8, 71, 130, N8"
PZA.CORR.ALONSO AGUILAR,Avda,de,Moratalaz,14.0,444175.0,4473367.0,T,20
JUAN ESPLANDIU Nº 9,Calle,de,Juan Esplandiu,3.0,443907.0,4474597.0,T,215
JUAN ESPLANDIU Nº 4,Calle,de,Juan Esplandiu,3.0,443890.0,4474407.0,T,215
Pº ALBERTO PALACIOS-Pº FERROVIARIOS,Paseo,de,Alberto Palacios,17.0,439255.0,4466328.0,T,"22, N14"
GASCUEÑA Nº35,Calle,de,Gascueña,20.0,451808.0,4477843.0,T,"77, 167"
DR.GARCIA TAPIA-M40,Avda,del,Doctor García Tapia,14.0,447024.0,4473242.0,T,100
JOAQUIN LORENZO-ISLA MALAITA,Calle,de,Joaquín Lorenzo,8.0,438848.0,4480692.0,T,42
ISLA MALAITA-JOAQUIN LORENZO,Calle,de la,Isla Malaita,8.0,438891.0,4480709.0,T,137
ISLA MALAITA-CESAR MANRIQUE,Calle,de la,Isla Malaita,8.0,438935.0,4480830.0,T,137
SAN GERMAN-ORENSE,Calle,del,General Yagüe,6.0,441180.0,4478864.0,T,126
BRAVO MURILLO-LOPE DE HARO,Calle,de,Bravo Murillo,6.0,440601.0,4478895.0,T,"66, 124, 126"
BRAVO MURILLO-FRANCISCO MEDRANO,Calle,de,Bravo Murillo,6.0,440759.0,4479135.0,T,"66, 124, N23"
SINESIO DELGADO-HOSPITAL CARLOS III,Calle,de,Sinesio Delgado,8.0,441462.0,4480887.0,T,147
SINESIO DELGADO-FINISTERRE,Calle,de,Sinesio Delgado,8.0,440819.0,4480942.0,T,147
