centro_codigo;centro_nombre;centro_tipo_codigo;centro_tipo_desc_abreviada;centro_tipo_descripcion;centro_titularidad;centro_titular;dat_codigo;dat_nombre;direccion_codigo_postal;municipio_codigo;municipio_nombre;distrito_codigo;distrito_nombre;direccion_coor_x;direccion_coor_y;fecha_constitución
28082496;CHS ESPACIO DE IMAGEN;94;CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;TENDENCIES LONDON S.L.;2;Madrid-Sur;28937.0;92;Móstoles;0.0;Sin distrito;427021.0;4463841.0;2024-10-10
28082502;BIO INNOVA FP;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;PUBLI CHOICE, S.L.;1;Madrid-Norte;28760.0;903;Tres Cantos;0.0;Sin distrito;439840.0;4495312.0;2024-10-14
28082514;INSTITUTO U DE FORMACIÓN PROFESIONAL;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;Instituto U de Formación Profesional, S.L.;5;Madrid-Capital;28034.0;79;Madrid;8.0;Fuencarral-El Pardo;441846.0;4475551.5;2024-10-11
28082526;CENTRO DE FORMACIÓN PROFESIONAL FUNDACIÓN JUAN XXIII;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;FUNDACIÓN JUAN XXIII-RONCALLI;5;Madrid-Capital;28052.0;79;Madrid;19.0;Vicálvaro;449483.0;4472193.0;2024-11-14
28082538;CENTRO DE ACOMPAÑAMIENTO EDUCATIVO;4;CPR INF;CENTRO PRIVADO DE EDUCACIÓN INFANTIL;PRIVADO;ALCALÁ DE HENARES EDUCATION GROUP, S.L;3;Madrid-Este;28834.0;5;Alcalá de Henares;0.0;Sin distrito;468838.5;4481732.0;2024-11-19
28082541;HUMANITAS BILINGUAL SCHOOL EL CAÑAVERAL;72;CPR INF-PRI-SEC;CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA;PRIVADO;HUMANITAS BILINGUAL SCHOOL EL CAÑAVERAL, S.L.;5;Madrid-Capital;28052.0;79;Madrid;19.0;Vicálvaro;441846.0;4475551.5;2024-11-26
28082551;AARÓN VIVANCOS TALENT CENTER;137;CAU EL MUS;CENTRO AUTORIZADO ELEMENTAL DE MÚSICA;PRIVADO;5 ARTS BOOKING, S.L.;1;Madrid-Norte;28108.0;6;Alcobendas;0.0;Sin distrito;444732.0;4487869.0;2024-11-19
28082563;HIGHLANDS SCHOOL EL ENCINAR;94;CEXTRAN ESP;CENTRO DOCENTE EXTRANJERO EN ESPAÑA;PRIVADO;CONGREGACIÓN DE LOS LEGIONARIOS DE CRISTO;5;Madrid-Capital;28055.0;79;Madrid;16.0;Hortaleza;445855.0;4483903.0;2024-11-28
28082575;FEMXA FORMACIÓN;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;FEMXA FORMACIÓN, S.L;5;Madrid-Capital;28043.0;79;Madrid;16.0;Hortaleza;441846.0;4475551.5;2024-12-20
28082587;ILERNA RIVAS-VACIAMADRID;58;CPR FPE;CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA;PRIVADO;ILERNA ON LINE, S.L.;3;Madrid-Este;28521.0;123;Rivas-Vaciamadrid;0.0;Sin distrito;454802.0;4467754.0;2024-12-20
